Row Labels,Sum of Channel Islands,Sum of Switzerland
1992,42.92929458,40.38047992
1993,42.42424213,40.2615811
1994,42.42424213,40.14268228
1995,42.42424213,40.02378038
1996,42.42424213,39.94130817
1997,40.90909441,39.86388976
1998,40.40404196,39.77887998
1999,39.89899192,39.69892411
2000,39.89899192,39.62149678
2001,37.87878934,39.53647133
2002,37.3737393,39.45903596
2003,37.3737393,39.37653179
2004,37.87878934,39.3016182
2005,38.38383938,39.22263224
2006,42.42424213,39.14264919
2007,41.41414205,39.06012658
2008,40.90909441,38.98673797
2009,44.44444712,38.90828935
2010,45.95959966,38.83490074
2011,48.48485228,38.75898213
2012,47.97979983,38.68559352
Grand Total,874.2424575,828.9865915
