Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1992,,,24.09807593,56.07929065,,94.14939376,99.85522171,88.80594542,92.71928489,,,94.34266007,77.23721117,99.32101065,,75.93220102,3.93128468,,46.72802762,82.48892414,99.91785255,,91.17220052,95.28447313,,,69.20822225,52.68438588,,99.96137488,,65.3100088,,73.43636302,88.52183425,58.75908141,,66.35600413,75.43198361,27.59821797,16.11054363,7.866010165,33.01862048,70.80867713,,,58.76441408,94.27459011,54.9412599,,,99.64979694,90.47874402,85.95284872,,,90.72488798,78.78107052,,72.06793179,71.82451965,77.26621616,92.12116394,85.50897922,81.81159194,94.04718146,78.54812658,19.35538288,79.25417767,31.77362212,2.244968,79.71374395,52.471226,53.92849134,,56.15970578,,,34.47956965,89.21274479,84.56582791,16.08869506,100,,,,,94.32196258,,,30.94750409,,,83.4581483,,32.28274902,13.16750795,77.82279284,16.76037583,81.0604298,80.06631299,76.60944012,39.61881829,49.09711372,55.70209753,27.06592351,,56.07028245,,84.55978425,98.67888866,99.64271263,29.76385459,97.15457349,92.58124189,83.53538021,98.52817198,83.95401954,97.55977451,16.54686215,87.77939669,,,,85.82812264,99.90828691,71.75702308,,93.1507263,,98.89077532,,71.88772812,16.54414501,44.85717418,,24.79726535,61.60806048,75.88786561,,82.36297709,65.05710605,89.32659978,76.61425697,,,85.26846527,,99.72865677,,,98.07520486,86.95013786,,76.75122551,89.49238325,,100,13.81262624,96.89043598,,97.34990495,,5.505030538,,59.04804362,,92.45778839,84.37671795,55.4312669,,,22.84478998,32.37296763,96.8895722,53.59213645,6.287240979,,69.03009346,82.87832241,,74.00262516,53.54954133,65.4853125,64.20497478,48.22953063,,,98.04603324,29.51920727,,92.07253149,83.56345603,23.88374303,,,83.09098246,,99.99998676,94.81981938,92.57095042,,54.26389705,99.98948221,14.83784348,45.40540692,98.63729761,,,38.14089544,,,89.03507307,39.37443553,,39.42396489,78.83146647,,,80.83385367,72.09984456,36.9083497,,,,97.87203752,,,71.5755489,92.53043621,9.53505206,66.86594733,65.21123031,,72.34395906,,96.89043598,,54.26389705,39.42396489,99.1045608,87.67513435,81.37420133,,6.102430568,,90.68260921,81.87890238,64.06373654,85.57482233,98.89159939,,89.88168262,,,28.10543211,,80.08244068,,,97.68411455,85.15415756,15.34888041,47.34249117
1993,,,24.96466182,53.47897796,,94.46996178,99.88737141,87.68722886,82.06376731,,,93.75834561,77.01114249,98.58502553,,75.93501516,3.835510654,,49.45684214,81.91968186,,,89.58488974,94.8614641,,,68.57968935,53.26424997,,,,63.96703942,,72.57768592,87.65971908,57.53645147,,68.074028,76.46878729,28.55316939,16.65420131,7.351352329,32.09623019,70.36132127,,,58.57040387,94.26527033,61.61673999,,,99.67524793,89.70098405,86.00930916,,,91.75701497,81.03756104,,73.42362727,72.40467574,77.7750635,91.54887916,84.61249467,79.68356687,93.96157784,77.85387056,23.18490009,77.6916953,31.65620666,2.736625394,79.01289444,53.04410729,54.80545497,,54.19402551,,,36.75772049,87.79016543,77.98328005,17.40874908,100,,,,,94.16119401,,,31.69115918,,,83.31578732,,33.22425374,12.93206617,78.27105074,14.37212363,81.89985324,79.94570987,76.44456755,39.45361661,49.28574839,59.07520986,26.08979001,,56.95683361,,86.15562457,98.73988174,99.75337386,30.04565618,97.11977185,92.27029006,83.98332316,98.45020586,82.42967512,98.09382002,15.95823285,82.00145465,,,,86.92320801,99.97008028,71.79193116,,95.13552148,,98.93127773,,71.93402608,16.66571984,42.26762682,,29.80516926,60.75017571,75.79326025,,82.25332309,61.01380459,89.34209305,73.37090452,,,86.03306542,,98.33243531,,,98.16853176,86.97184566,,76.6997404,89.13723963,,,17.85300663,97.0696931,,96.81020805,,6.146608654,,62.67835257,,92.85170483,84.76258577,58.75398028,,,22.04813297,32.87800972,97.60032633,54.75824815,6.70178264,,68.30793359,82.69799567,100,66.30874274,54.90888337,64.15330779,65.57455066,49.27312265,,,95.58676875,31.56937092,,91.64576079,81.96160608,26.57009985,,,82.84818725,,99.99998724,94.69313868,92.39747196,,55.29819456,99.99263451,11.11627808,44.83930045,98.91353109,,,41.6350877,,,88.11244319,40.20461679,,40.26172866,74.69747547,,,78.56660561,73.48132995,36.87733538,,,,97.92008101,,,73.03492028,91.87299823,6.379327641,71.73378721,57.72791179,,72.16387439,,97.0696931,,55.29819456,40.26172866,99.11163552,86.75515322,81.38847423,,6.643225124,,89.00327145,82.00483443,60.27272659,86.11796479,98.72247356,,89.16327703,,,30.36653496,,79.98313226,,,97.3245358,86.6501108,13.36135061,45.77838931
1994,,,24.43968302,54.8469148,,94.15898926,99.90964437,87.00193544,76.96840312,,,93.88648312,77.58570758,98.66479606,,77.64937481,3.865559423,,50.25109694,79.84780036,99.97064929,,67.39492788,94.6243203,,,71.49556907,53.26672895,,,,61.95490733,,71.6982666,86.96654717,57.52886307,,69.82379099,77.04504013,28.24525708,16.90453879,4.710080753,20.37155024,69.18074733,,,57.93665153,94.12479015,62.83147458,,,99.27721577,88.48359884,86.02180942,,,94.63847163,83.56493018,,73.95347028,73.03720214,78.34240101,91.3244413,84.10059852,80.38830216,93.38439842,78.01743193,25.5312677,78.59018687,31.37207382,3.04826749,78.88216124,53.97317716,56.88474415,,53.31348303,,,28.36983752,87.79003822,80.45060381,17.61105115,100,,,,,94.2701135,,,35.56152207,,,83.26918449,94.22567014,36.95167983,13.04862045,77.18587761,4.393470013,81.13193176,79.60766534,75.94062142,38.09476991,47.71848806,57.46947569,25.36091574,,58.01455003,,86.85399375,99.05873121,99.79052925,29.98211422,97.23903624,92.08793745,83.86518635,98.46758004,82.68251329,96.58277851,14.78755106,71.09036609,,,,87.73615025,99.98470424,72.3487405,,95.16874689,,99.05348346,,72.49866498,16.93202282,39.90451664,,31.698369,59.69528011,75.29334842,,81.72365107,66.80929516,87.94841452,70.50862837,,,86.66987802,,97.27127802,,,98.2552553,88.19844199,,76.2646763,89.27533877,,,19.96683244,97.28381842,,96.2540297,,5.370786232,,65.87272524,,92.37407241,84.46847061,62.6810745,,,17.83639168,35.19308478,97.83544978,53.37250154,7.853936128,,68.45249392,82.65311588,,,55.00240608,66.56331616,66.3603423,51.77030533,,,95.33847707,31.11487981,,90.63293697,80.82210984,28.47486673,,,82.72842629,,,94.48810757,92.57572233,,56.27345827,99.98474927,13.75249687,44.03001348,99.08538294,,,44.51157973,,,87.35427722,39.08100123,,39.14675344,73.36615577,,,76.223125,71.73326247,36.90247961,,,,98.03966957,,,73.64162125,91.66273269,13.23687827,75.1366778,44.0401253,,72.70926966,,97.28381842,,56.27345827,39.14675344,99.02652613,86.88950456,81.61678501,,6.566011793,,88.14691048,81.7404246,56.91651974,85.91212906,98.74462613,,89.96488328,,,33.61244562,,79.7929832,,,97.43748464,86.15283213,11.97584735,43.72705893
1995,,,22.78019633,49.54164119,,94.87096635,99.91496754,87.09209567,84.25106362,,,93.83177017,77.98279868,98.65973318,,77.40569753,3.780880657,,54.40918593,78.77100169,99.99998445,,67.98200762,93.09691962,,,74.22273214,54.60825221,,100,,63.05320083,,72.52018144,86.79288364,55.90274102,,70.00781441,78.42785838,25.15002986,16.07419445,5.493197164,29.64774282,69.51032207,,,59.28411092,94.37856994,68.85471624,,,97.36608426,89.26306987,85.81095471,,,92.36304094,84.91800504,99.87245929,75.34927239,73.88446255,78.80392076,90.97268678,83.79051085,84.11476233,93.81627817,78.06609718,26.79251562,79.60094521,28.00473057,3.343246354,78.90350032,53.16983216,52.9464572,,53.57382198,,,32.61049644,87.71102814,68.2929448,18.78593182,100,,,,,93.85006004,,,36.61796529,,,83.00152709,94.54430039,41.23647126,13.94363134,76.86405106,17.76927447,81.60281715,80.07610284,76.36655134,37.67505226,46.69969263,60.59168122,26.29546592,,59.98794193,,88.05593925,99.13064471,99.7758246,29.28917095,97.26433977,93.02465207,84.90323689,98.55367271,81.47549791,97.26043248,15.59160211,64.67421508,18.02464871,,,87.08372533,99.95523925,72.07503546,,95.31599545,,99.1060089,,72.25884466,18.39435209,39.27974743,,33.06375348,61.23725569,75.74574988,,82.13897888,59.9704725,84.91984748,66.42518378,,,87.01038278,,94.68961838,,,98.44957494,86.18629766,,76.72503065,88.79046111,,100,21.44538998,97.6490615,,95.71534597,,5.672039512,,63.29552877,,93.04961026,84.15351636,63.21802241,,,17.75230101,37.3343302,95.46345923,53.03900926,8.558693458,,67.89192434,82.30710258,,76.16526173,55.84915936,69.12634516,68.62247109,55.37105066,,,95.45551646,30.30742708,,89.86262835,83.17811229,29.52426611,,,82.38093183,,100,93.15785781,92.30322627,,58.18549369,99.98764355,13.18438534,45.6487035,98.92796508,,,46.74147468,,,87.31650768,39.59145781,,39.6513645,80.36995445,,,78.58278383,72.87552557,36.85322789,,,,98.17625649,,,75.11197114,91.33532679,12.53977638,75.98236301,41.02735229,,72.33231945,,97.6490615,,58.18549369,39.6513645,99.31263045,86.97489785,82.59288875,,8.937296356,,88.01869734,81.99077462,60.72254361,85.46933598,99.00529376,,89.22769882,,,37.03708171,,79.81737201,,,97.73591321,86.30137004,11.53935246,43.56407322
1996,,,23.49809695,45.45376374,,94.8639233,99.93960629,87.69628353,57.65082395,,,93.64822076,78.19818694,98.39426687,,77.64448379,13.33205008,,56.07741741,77.48124012,99.94205771,,72.99470787,92.16835137,,,76.49405639,56.26743393,,,,60.17227447,,73.23708495,86.35280844,56.14527062,,72.39165888,78.98587561,32.01815313,15.68953898,5.815207924,22.03410396,69.90407976,,,57.25565494,94.91917317,66.95607493,,,97.59309465,89.26163926,85.90869753,,,98.52626246,85.56770281,99.8415349,76.01504027,74.19710849,79.1743446,90.42953184,83.3616273,83.41052993,94.07725083,77.74822463,27.86632445,77.85351034,27.97456242,3.51351176,78.71049398,53.62673873,55.65215756,,53.84750116,,,34.51410634,87.56976162,60.53852119,19.3233444,100,,,,,93.46299999,,,37.7069844,,,82.99131205,93.48240804,40.32338557,14.57267036,74.48571793,17.86149782,81.9531038,80.11500259,76.40090018,38.33305741,47.21953203,61.50844393,27.0454363,,60.8251558,,89.44904115,99.10415006,99.77318585,30.73641907,97.25290474,92.61465541,85.25520123,98.58591983,81.21932811,97.19461595,16.31727244,68.08947638,17.92264811,,,87.06887757,99.97471677,72.63630755,,94.60972911,,99.13991781,,72.92941352,18.72308302,37.71301031,,37.55152811,60.88802534,75.75122924,,82.28884488,58.61733395,85.62631275,65.23375847,,,86.36749359,,94.2949714,,,98.41188579,86.24386972,,76.7569115,90.88161349,,100,22.54497228,97.55305252,,94.90562231,,5.552479913,,65.39378726,,93.94502111,84.2655793,63.82023608,,,18.83061648,37.77282165,95.16427457,52.45721104,8.668709029,,69.8094031,82.33698845,100,,57.01361919,67.05937856,69.5043471,56.33445817,,,95.8970463,30.61316758,,89.17157857,80.55177441,28.57716823,,,82.26179146,,,90.95449502,92.32698337,,59.10565167,99.99535367,12.97350681,45.42344856,98.97307486,,,43.12577744,,,87.17251628,39.35353123,,39.41852574,73.81289612,,,78.20464219,73.96249704,36.71648711,,,,98.24575303,,,75.83226907,90.81706129,17.79794155,77.8356255,39.37050942,,73.06415653,,97.55305252,,59.10565167,39.41852574,99.40369198,86.91700265,83.23558002,,8.29084495,,85.45754145,82.10967699,65.50947333,85.51006132,98.50890456,,89.4540747,,,39.58945312,,79.83418788,,,97.78253409,84.99355588,9.645147764,42.06930092
1997,,,23.87447372,41.44934024,,95.00692383,99.94282166,86.89501343,70.63609757,,,93.51265089,78.41612405,97.89809801,,75.89831874,17.32187486,,56.57335085,76.82164659,,,84.74508396,92.38222568,,,78.34940725,56.68118402,,,,60.63283851,,74.7361058,85.71687481,57.20746852,,74.6555643,78.93511417,32.10809865,16.15444972,4.766045299,18.56354688,75.85067815,,,58.91862494,94.56333523,68.90243617,,,97.58644257,89.55314042,84.62946066,,,94.36666382,87.17742176,99.76407728,76.14940146,74.48672398,79.21677269,90.24307213,82.84719652,85.75095066,94.15809928,77.37886921,25.12114757,80.06129405,27.51803402,3.311723269,78.165039,54.52541199,53.26542931,,52.90067538,,,34.23558004,86.71951891,59.865222,20.49129177,100,,,,,93.51094723,,,38.25351654,,,83.25423371,93.16714027,38.10993023,15.0491588,77.13221449,22.45268361,81.88620888,80.08155145,76.32929968,38.59501153,47.16287852,62.04562742,27.79770165,,61.77329025,,89.30314855,99.27119703,99.80444018,29.75087974,97.3075124,92.44346418,84.87780925,98.57261674,80.35858715,97.37035736,15.54813956,69.24585569,18.41723741,,,87.56412074,99.99998639,73.09048917,,95.14532135,,99.13522232,,73.40695999,19.19517206,37.75755553,,37.67683864,61.05309138,75.74950647,,82.15374545,60.17216697,84.28297119,65.08488454,,,86.51610121,,93.23919865,,,98.48588398,86.65881761,,76.76219614,89.48667797,,100,22.78799021,97.73134338,,94.9800156,,6.487632185,,63.78766491,,95.04526803,85.26775456,64.07791843,,,19.19587406,38.90686218,95.50036081,54.56681449,9.655923565,,72.0513633,82.68786035,100,68.89797315,57.15228034,67.29565474,68.61724901,57.72249015,,,95.89721099,32.64239011,,89.67865696,81.02220836,29.13696859,,,82.55210663,,99.99999017,85.93158748,92.07337205,,59.93966481,99.99551494,14.20811847,47.06853974,99.08530818,,,47.65365459,,,89.1056065,39.39361454,,39.454579,76.24824936,,,78.18582716,74.28475384,35.63736882,,,,98.35336113,,,75.97224779,90.47952166,12.64141296,78.83596274,44.52407976,,73.50735841,,97.73134338,,59.93966481,39.454579,99.33086834,86.77077281,83.78303176,,7.68539637,,84.68459874,82.15212122,64.14710309,86.45649442,98.70808544,,88.78911256,,,42.450669,,79.97706843,,,97.91312374,84.90715771,12.02351769,40.05997364
1998,,,22.12486544,45.2948183,,94.85585825,99.94641398,86.78511763,72.12610749,,,93.87865071,78.51556371,98.23795384,,77.04852705,17.33049548,,57.62886784,76.14153183,99.93882341,,85.61244939,91.2963115,,,78.77728042,57.34050814,,,,63.70149532,,75.88275618,85.45168272,56.88829482,,75.52716036,78.99403588,30.82691939,16.36026926,4.125985415,15.8249149,77.26166214,,,63.72876919,95.53296224,71.65304375,,,97.6772923,88.81523707,84.92246199,,,92.6766256,85.26174313,99.71309035,75.94768766,74.79100824,78.65015111,90.25112687,82.84127009,84.96531851,94.44745481,77.80392056,28.8034706,79.52609681,31.24086431,3.325111178,78.2794776,52.54977536,51.49752183,,54.79426487,,,36.77855125,86.77063541,59.13704991,26.62183133,100,,,,,94.08694815,,,42.21660727,,,83.00918608,94.88346803,42.86878071,15.34313109,78.23251372,20.65677739,82.16912862,79.93037489,76.12345522,39.29632682,47.57047025,60.66479567,28.88983221,,62.01581767,,90.06428158,99.32626206,99.71909612,28.02535708,97.15872967,92.28589095,86.69319415,98.5627864,79.39872966,97.63797078,16.52475081,70.77945339,18.41302261,,,84.15197468,,73.82630607,,95.12335334,,99.12668698,,74.20481754,19.333198,37.64634112,,38.92736154,60.99783286,75.56795491,,82.02306105,59.25243502,82.71809006,64.9938205,,,86.3863488,,92.8344921,,,98.44363934,87.16154776,,76.59453958,90.86549994,,99.99985523,24.02577866,97.66899137,,95.00062696,,5.321251042,,65.49165738,,94.59444279,85.06429697,62.82448842,,,17.36211024,43.85809129,95.01434889,54.03449739,9.930467687,,69.59774064,82.44971143,99.99995584,77.39170989,56.93917328,74.49978508,69.76566572,55.92492408,,,96.10865234,27.65542671,,89.13749094,83.49736504,30.96400691,,,82.27421132,,100,85.2305912,92.11536568,,60.17093587,99.99512132,14.54359799,48.44878568,98.98800802,,,49.22261006,,,89.19775396,38.48010551,,38.5511896,82.00001298,,,78.48092331,73.50536815,35.0473152,,,,98.4666401,,,75.78664996,90.46900329,15.00369709,78.56600058,45.0036564,,74.25637937,,97.66899137,,60.17093587,38.5511896,99.42760424,87.32132332,83.63248921,,6.592101915,,84.28477495,82.0697443,64.62242243,86.08659433,98.81818344,,89.20859888,,,44.66937137,,79.75976103,,,98.04680785,84.45705296,11.57938756,39.7790053
1999,,,24.71441292,58.23879385,,94.64784845,99.94752516,88.27912241,65.2516387,,,93.92791207,76.60732845,98.0526344,,75.7901429,21.00728423,,57.27512604,74.73726206,,,84.80497789,92.24416123,,,78.1339915,57.28867439,,,,64.85003416,,75.63775473,85.16067309,55.80758728,,77.1642196,79.4000084,40.89197809,14.6517909,3.086504486,16.68382563,73.52906728,,,61.00568975,95.90112139,70.47882818,,,97.69161926,87.93101343,83.93137164,,,90.89289458,85.30557383,99.7444924,76.32184864,75.2384177,79.13821678,89.87290858,82.50011398,83.1562901,94.01790377,77.34870958,29.27836551,80.97590441,32.2073056,3.225670428,77.77490589,50.91724775,50.79324858,,54.01870151,,,33.55452859,87.23515523,55.69596734,25.87802464,99.99917964,,,,,94.17983504,,,40.31014636,,,82.88677126,94.79721817,49.08964853,16.5815664,78.27437077,22.03207181,81.74121511,80.00964938,76.21700711,40.05038227,48.25453764,62.21294558,29.66178367,,63.46040016,,91.79905469,99.5767324,99.62792002,24.46796246,97.16622168,91.84137185,86.64970853,98.53940472,80.61843812,97.61159254,16.95928355,63.08087685,19.51302766,,,83.59460003,,73.55501989,,95.71276746,,99.09551629,,74.0941306,20.45297503,38.75744753,,39.8370321,61.67468476,75.68521928,,81.89191073,60.26766649,83.01312235,63.32951944,,,86.95095375,,92.18524724,,,98.45905246,87.09443948,,76.70157494,88.69793802,,100,26.03412628,97.74743193,,95.63205483,,5.595292913,,75.80217542,,94.13802834,84.76685524,61.75233161,,,17.77524748,46.82640182,94.15364099,55.19582227,12.50624334,,70.81706549,82.34514725,100,71.58866965,58.66169495,71.41295155,71.19740134,53.2161268,,,96.31842864,25.97962161,,89.76591755,86.50723681,32.43509629,,,82.19224356,,99.99999116,84.3297836,91.30937924,,61.60024493,99.99520676,22.42723685,49.71395543,98.88756527,,,46.52849402,,,83.67748488,38.80071398,,38.89943231,79.48220735,,,75.94364348,74.16533385,34.84981229,,,,98.44791916,,,76.15018793,90.13511151,17.20828446,78.70113772,41.45829331,,74.16913344,,97.74743193,,61.60024493,38.89943231,99.48945887,87.16586711,84.53000919,,5.541691497,,85.10097241,82.07692809,70.24568939,85.78460105,98.83999358,,88.21105706,,,44.47201564,,79.7272245,,,98.26955808,84.65273181,9.179157126,41.53161734
2000,,,25.22005192,58.71509801,,94.99382528,99.9463267,88.38751029,70.04899236,,,89.32816819,76.53529223,98.28790192,,75.8540864,25.48618782,,57.94291987,72.38504117,,,87.89389885,91.6224497,,,82.55108852,58.23206392,,,,65.11338653,,76.10257181,84.74255216,54.35917144,,74.51149695,79.84135584,37.13014926,16.30728639,2.036553247,26.22458697,76.01413926,,,59.02715912,94.64854451,70.90016328,,,97.8604881,89.96283546,83.62197514,,,88.2800504,87.14808017,99.81505213,76.68428394,75.21748328,79.19559548,89.69468424,82.34366636,84.10732733,93.88155107,76.83885377,28.26607486,80.63494269,28.65162331,3.427088548,77.3691622,51.33595333,49.78670138,,52.80593885,,,32.43088502,88.41036373,59.01220076,28.35021093,100,,,,,94.59119325,,,42.27666514,,,82.89251048,93.89153113,48.27216358,16.2494672,77.90850016,23.30767712,80.53891348,80.09789143,76.27889906,39.82817435,47.8962375,61.95226725,29.64764369,,63.72739451,,92.51571911,99.66519654,99.67868431,22.62222591,97.20731488,91.73009539,84.55707037,98.4559407,80.67376563,97.25212234,18.23986293,62.78335226,20.33628847,,,83.96860009,100,74.11585118,,94.03613655,,99.11828373,,74.49533258,20.31693551,38.34346981,,43.0245776,61.51283032,75.80356747,,82.23099479,58.67376983,83.44341262,63.38829031,,,86.52996649,,91.48474834,,,98.52798719,87.24953199,,76.84190757,87.31846763,,,27.18147717,97.7477652,,93.92703293,,6.737874855,,73.86310096,,94.97309691,84.89943075,62.15209574,,14.36867867,18.44829849,46.0214318,93.84683253,54.34401885,11.97369419,,69.4632629,82.32330889,100,69.09562531,58.57436279,70.20179471,69.90923825,53.0686073,,,96.21984177,27.06084201,,90.45489209,84.03616853,28.20042304,,,82.12178738,,99.99999084,84.81660272,91.12638418,,61.82295583,99.99541575,17.57416471,50.30181179,98.91780933,,,44.93850096,,,84.75161165,38.13201914,,38.23631544,78.1141433,,75.58484307,72.5158525,70.13821351,34.82918337,,,,98.16794991,,,76.50319148,89.96115264,14.85860856,78.74346474,38.52974549,,74.57433995,,97.7477652,,61.82295583,38.23631544,99.78154823,87.11753909,86.24798514,,6.05724193,,84.18054993,82.2638297,65.17284417,85.88083054,98.78137827,,88.12157238,,,46.27348735,,79.78384868,,83.92267429,98.37001186,84.24342648,8.844863799,37.02200249
2001,,,26.67929998,60.95582784,,95.19902384,99.95791015,85.99454411,71.1767448,,,98.05308843,76.89638903,98.39211829,,75.62829263,27.46527702,,60.7230371,73.14546314,99.954494,,87.29585731,91.230334,,,77.19835064,58.94968977,,,,64.7836332,,76.15495344,84.67572611,56.01906198,,73.10697125,80.19740227,34.29839715,15.52265808,1.639733291,29.376962,76.67612827,,,57.21194443,95.62352157,69.7332787,,,97.82739383,89.02093783,83.60503302,,,88.2707013,87.70129559,99.77568248,77.14802927,75.58610673,79.84971035,89.59467973,82.13178803,85.86363431,94.22360415,76.77614419,28.37351209,79.84999602,31.87495347,4.132048222,77.23596398,52.0784697,50.33441953,,53.40057813,,,35.1822772,87.82897536,55.090437,32.17571931,,,,,,94.38734266,,,43.24444527,,,83.23260342,94.34455014,52.81255222,15.64216285,77.78750801,24.88890945,80.98183667,80.36104571,76.5036235,39.93380829,47.77532549,61.4567562,30.15029591,,63.64796634,,92.52159191,99.58503846,99.70763948,22.89112189,97.15410338,91.40342479,86.91941096,98.00084863,80.60163834,97.48459332,16.421786,60.34194236,21.64185631,,,83.75121502,99.99999499,74.43815235,,94.73888812,,99.12458505,,74.78302219,20.96264299,38.31533424,,43.35644415,61.64821631,76.03516607,,82.53427109,57.44371638,84.98340818,63.67106267,,,87.5474677,,90.97027158,,,98.58170733,88.27885622,,77.09407314,89.80575158,,,23.62617621,97.79525777,,93.11310304,,6.559086197,,73.52793677,,95.17806383,85.31926455,66.80570478,,13.80433317,19.88929351,48.3090423,94.19989599,55.65629207,12.35246277,,71.80383968,82.5849359,100,77.56184169,58.13013279,75.43774895,67.54891157,54.30490275,,,95.98089994,28.053771,,90.56717781,83.3853754,28.78706276,,,82.37188412,,99.99999171,86.5352964,90.88612897,,61.80624073,99.99480235,16.1799102,53.25673854,98.16821256,,,44.19638329,,,85.16230488,38.79484343,,38.89767095,82.99840311,,76.65678528,73.07818429,70.39380715,33.98788812,,,,98.11642759,,,76.97204609,89.90527415,12.60388831,81.19440353,36.9233903,,74.89006728,,97.79525777,,61.80624073,38.89767095,99.81939342,87.31853169,86.07294035,,6.32556028,,84.35759414,82.52035941,58.88739939,86.34598091,98.90765794,,88.89082508,,,47.91381219,,80.03830701,,86.39372469,98.48775256,85.6780845,9.030562777,37.0955744
